AREA,1_Room,2_Room,3_Room,4_Room,5_Room,E_OR_MG,SA,Total
Ang Mo Kio,1318,3493,24239,13682,5654,489,294,49169
Bedok,2250,1923,22515,20065,10390,2713,259,60115
Bishan,396,0,2357,9359,5716,1660,176,19664
Boon Lay,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Bukit Batok,305,95,10280,13851,4832,2732,180,32275
Bukit Merah,4731,5756,15973,15412,9479,44,490,51885
Bukit Panjang,223,509,3532,16307,10101,3381,410,34463
Bukit Timah,0,0,441,920,682,380,0,2423
Central Area,2075,1316,4739,3529,903,9,0,12571
Centre Catchment,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Changi,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Choa Chu Kang,355,751,1849,20412,13720,4762,544,42393
Clementi,474,932,11947,8593,2915,619,0,25480
Downtown,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Geylang,1044,3150,11354,9181,3590,830,107,29256
Hougang,532,892,10182,24932,10606,4310,192,51646
Jurong East,352,412,6821,7855,5925,1871,143,23379
Jurong West,540,1630,12468,28348,21553,6507,709,71755
Kallang,4401,2469,13151,9849,5366,504,0,35740
Lim Chu Kang,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Mandai,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Marina East,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Marina South,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Marine Parade,0,1350,3037,1798,1677,0,0,7862
Mountbatten,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Museum,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
North East Island,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Outram,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Pasir Ris,176,322,388,11404,9272,7460,185,29207
Paya Lebar,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Punggol,701,990,2707,16613,13060,1126,318,35515
Queenstown,575,3228,14054,8112,3852,354,371,30546
River Valley,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Rochor,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Sembawang,321,768,349,8447,7556,2870,464,20775
Sengkang,685,1356,2800,27560,22170,4462,0,59033
Serangoon,182,219,4543,10231,3753,2365,0,21293
Singapore River,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
South Island,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Strait View,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Sungei Kedut,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Tampines,775,702,13082,28361,17147,5845,687,66599
Tanglin,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Tengah,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Toa Payoh,1169,3613,15020,9610,6017,854,156,36439
Tuas,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
West Island,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0
Woodlands,1492,1126,6312,27499,19405,6191,650,62675
Yishun,726,898,14506,28023,9061,2741,743,56698
