osm_id,name,type
19810659,North South Line (NS),subway
19880782,MRT East West Line (EW),subway
19880784,MRT East West Line (EW),subway
19881423,MRT East West Line (EW),subway
19939726,MRT East West Line (EW),subway
19979739,MRT East West Line (EW),subway
19987450,North South Line (NS),subway
20059247,North South Line (NS),subway
20059249,North South Line (NS),subway
20060275,North South Line (NS),subway
20060278,North South Line (NS),subway
20061825,North South Line (NS),subway
20061828,North South Line (NS),subway
20062434,North South Line (NS),subway
20141158,MRT East West Line (EW),subway
20141164,MRT East West Line (EW),subway
20164999,North East Line (NE),subway
33739391,Circle Line MRT,subway
35308147,Circle Line MRT,subway
35308148,Circle Line MRT,subway
37583815,North South Line (NS),subway
37583824,North South Line (NS),subway
37583825,North South Line (NS),subway
37583826,North South Line (NS),subway
48526059,North South Line (NS),subway
93836772,North South Line (NS),subway
93836774,North South Line (NS),subway
93836775,North South Line (NS),subway
93836776,North South Line (NS),subway
93836777,North South Line (NS),subway
93836778,North South Line (NS),subway
93836779,North South Line (NS),subway
93836780,North South Line (NS),subway
103410980,North South Line (NS),subway
140918628,Circle Line Extension,subway
141367961,MRT East West Line (EW),subway
141393156,MRT East West Line (EW),subway
141393159,North South Line (NS),subway
141393160,MRT East West Line (EW),subway
141393958,North South Line (NS),subway
141393961,North South Line (NS),subway
141393962,North South Line (NS),subway
141393963,North South Line (NS),subway
142420479,MRT East West Line (EW),subway
142424432,MRT East West Line (EW),subway
142424444,MRT East West Line (EW),subway
142424452,MRT East West Line (EW),subway
142424453,MRT East West Line (EW),subway
142440361,MRT East West Line (EW),subway
142440364,MRT East West Line (EW),subway
173131858,North South Line (NS),subway
173131861,North South Line (NS),subway
173131864,North South Line (NS),subway
203845606,Downtown Line MRT,subway
204662007,North South Line (NS),subway
204662008,North South Line (NS),subway
204662009,North South Line (NS),subway
206405781,North South Line (NS),subway
233926979,North South Line (NS),subway
233926980,North South Line (NS),subway
233926981,North South Line (NS),subway
233926982,North South Line (NS),subway
233926983,North South Line (NS),subway
233926984,North South Line (NS),subway
233926985,North South Line (NS),subway
233926986,North South Line (NS),subway
233926987,North South Line (NS),subway
233926988,North South Line (NS),subway
233926989,North South Line (NS),subway
233926990,North South Line (NS),subway
233926991,North South Line (NS),subway
233926992,North South Line (NS),subway
233926993,North South Line (NS),subway
233926994,North South Line (NS),subway
233926995,North South Line (NS),subway
233926996,North South Line (NS),subway
233926997,North South Line (NS),subway
233926998,North South Line (NS),subway
233926999,North South Line (NS),subway
233927000,North South Line (NS),subway
233927001,North South Line (NS),subway
233927002,North South Line (NS),subway
251603805,Downtown Line MRT,subway
377679053,Circle Line MRT,subway
377679054,Circle Line MRT,subway
380508287,Downtown Line MRT,subway
391040073,Downtown Line MRT,subway
