AREA,2_ROOM,3_ROOM,4_ROOM,5_ROOM,PRIVATE,AVERAGE_PRICE
Ang Mo Kio,220000,326515.32,490076.47,677736,760000,413534.06
Bedok,250000,306821.22,446754.18,596611.11,670000,419375.38
Bishan, No Data ,338250,535110.16,730666.67,867500,617574.9
Boon Lay, No Data ,295583.33,438333.33,561916.67,720000,422634.62
Bukit Batok, No Data ,278631.58,409880,511250, No Data ,390547.17
Bukit Merah,253972,419108.55,667230.77,746333.33, No Data ,533901.58
Bukit Panjang, No Data ,283250,364522.73,457714.29,627555.43,424540.17
Bukit Timah, No Data ,408000, No Data ,820000, No Data ,614000
Central Area, No Data ,417563.43,756360,1018000, No Data ,532284.4
Centre Catchment, No Data , No Data , No Data , No Data , No Data ,0
Changi, No Data , No Data , No Data , No Data , No Data ,0
Choa Chu Kang, No data ,282666.67,355143.61,441085.82,538300,391609.52
Clementi, No Data ,326437,601432,672000,888888,442743.79
Downtown, No Data , No Data , No Data , No Data , No Data ,0
Geylang, No Data ,298846.15,520941.47,635472, No Data ,453466
Hougang, No Data ,302029.41,408842.04,517050,617000,423331.47
Jurong East, No Data ,295583.33,438333.33,561916.67,720000,422634.62
Jurong West, No Data ,295583.33,438333.33,561916.67,720000,422634.62
Kallang,227000,340892,609298.67,702722, No Data ,461738.7
Lim Chu Kang, No Data , No Data , No Data , No Data , No Data ,0
Mandai, No Data , No Data , No Data , No Data , No Data ,0
Marina East, No Data ,463000,518000,801736, No Data ,739488.8
Marina South, No Data ,463000,518000,801736, No Data ,739488.8
Marine Parade, No Data ,463000,518000,801736, No Data ,739488.8
Mountbatten, No Data , No Data , No Data , No Data , No Data ,0
Museum, No Data , No Data , No Data , No Data , No Data ,0
North East Island, No Data , No Data , No Data , No Data , No Data ,0
Outram, No Data , No Data , No Data , No Data , No Data ,0
Pasir Ris, No Data , No Data ,400935.52,469083.42,601222.71,471951.12
Paya Lebar, No Data ,272000,359000,517000, No Data ,382666.67
Punggol,265000,365600,438509.2,442556.29,547000,440215.25
Queenstown,253000,393680,656222.22,923750,998888,517372.2
River Valley, No Data , No Data , No Data , No Data , No Data ,0
Rochor, No Data , No Data , No Data , No Data , No Data ,0
Sembawang, No Data , No Data ,359125,434600,514857.14,433200
Sengkang, No Data , No Data ,412412.8,453630.21,559555.56,442769.3
Serangoon, No Data ,307125,475916.67,546333.33,665714.29,509173.08
Singapore River, No Data , No Data , No Data , No Data , No Data ,0
South Island, No Data , No Data , No Data , No Data , No Data ,0
Strait View, No Data , No Data , No Data , No Data , No Data ,0
Sungei Kedut, No Data , No Data , No Data , No Data , No Data ,0
Tampines, No Data ,319653.85,432770.18,527142.86,659972.13,462038.96
Tanglin, No Data , No Data , No Data , No Data , No Data ,0
Tengah, No Data , No Data , No Data , No Data , No Data ,0
Toa Payoh,236500,301511.5,484480,723777.78, No Data ,415767.57
Tuas, No Data , No Data , No Data , No Data , No Data ,0
West Island, No Data , No Data , No Data , No Data , No Data ,0
Woodlands, No Data ,276250,363831.9,428788.56,612600,397408.47
Yishun, No Data ,298760,355494.89,451750,583500,368192.82
